DUREE, T1.Possession, T1.Annotation, T1.AnnotationText,T2.Possession, T2.Annotation, T2.AnnotationText 
2023-01-01 00:00:01,0,null,null,100,+AG+C,null
2023-01-01 00:00:02,0,null,null,100,null,null
2023-01-01 00:00:03,0,null,null,100,null,null
2023-01-01 00:00:04,0,null,null,100,null,null
2023-01-01 00:00:05,0,null,null,100,null,null
2023-01-01 00:00:06,0,null,null,100,null,null
2023-01-01 00:00:07,0,null,null,100,null,null
2023-01-01 00:00:08,0,null,null,100,null,null
2023-01-01 00:00:09,0,null,null,100,null,null
2023-01-01 00:00:10,0,null,null,100,null,null
2023-01-01 00:00:11,0,null,null,100,null,null
2023-01-01 00:00:12,0,null,null,100,null,null
2023-01-01 00:00:13,0,null,null,100,null,null
2023-01-01 00:00:14,0,null,null,100,null,null
2023-01-01 00:00:15,0,null,null,100,null,null
2023-01-01 00:00:16,0,null,null,100,null,null
2023-01-01 00:00:17,0,null,null,100,null,null
2023-01-01 00:00:18,0,null,null,100,null,null
2023-01-01 00:00:19,0,null,null,100,null,null
2023-01-01 00:00:20,0,null,null,100,null,null
2023-01-01 00:00:21,0,null,null,100,null,null
2023-01-01 00:00:22,0,null,null,100,null,null
2023-01-01 00:00:23,0,null,null,100,null,null
2023-01-01 00:00:24,0,null,null,100,null,null
2023-01-01 00:00:25,0,null,null,100,null,null
2023-01-01 00:00:26,31,null,null,69,null,null
2023-01-01 00:00:27,31,null,null,69,null,null
2023-01-01 00:00:28,31,null,null,69,null,null
2023-01-01 00:00:29,31,null,null,69,null,null
2023-01-01 00:00:30,31,null,null,69,null,null
2023-01-01 00:00:31,31,null,null,69,null,null
2023-01-01 00:00:32,31,null,null,69,null,null
2023-01-01 00:00:33,31,null,null,69,null,null
2023-01-01 00:00:34,31,null,null,69,null,null
2023-01-01 00:00:35,31,null,null,69,null,null
2023-01-01 00:00:36,31,null,null,69,null,null
2023-01-01 00:00:37,31,null,null,69,null,null
2023-01-01 00:00:38,31,null,null,69,null,null
2023-01-01 00:00:39,31,null,null,69,null,null
2023-01-01 00:00:40,31,null,null,69,null,null
2023-01-01 00:00:41,31,null,null,69,null,null
2023-01-01 00:00:42,31,null,null,69,null,null
2023-01-01 00:00:43,31,null,null,69,null,null
2023-01-01 00:00:44,31,null,null,69,null,null
2023-01-01 00:00:45,31,null,null,69,null,null
2023-01-01 00:00:46,31,null,null,69,null,null
2023-01-01 00:00:47,31,null,null,69,null,null
2023-01-01 00:00:48,31,null,null,69,null,null
2023-01-01 00:00:49,31,null,null,69,null,null
2023-01-01 00:00:50,31,null,null,69,null,null
2023-01-01 00:00:51,31,null,null,69,null,null
2023-01-01 00:00:52,31,null,null,69,null,null
2023-01-01 00:00:53,31,null,null,69,null,null
2023-01-01 00:00:54,31,null,null,69,null,null
2023-01-01 00:00:55,31,null,null,69,null,null
2023-01-01 00:00:56,31,null,null,69,null,null
2023-01-01 00:00:57,31,null,null,69,null,null
2023-01-01 00:00:58,31,null,null,69,null,null
2023-01-01 00:00:59,31,null,null,69,null,null
2023-01-01 00:01:00,31,null,null,69,null,null
2023-01-01 00:01:01,39,null,null,61,null,null
2023-01-01 00:01:02,39,null,null,61,null,null
2023-01-01 00:01:03,39,null,null,61,null,null
2023-01-01 00:01:04,39,null,null,61,null,null
2023-01-01 00:01:05,39,null,null,61,null,null
2023-01-01 00:01:06,39,null,null,61,null,null
2023-01-01 00:01:07,39,null,null,61,null,null
2023-01-01 00:01:08,39,null,null,61,null,null
2023-01-01 00:01:09,39,null,null,61,null,null
2023-01-01 00:01:10,39,null,null,61,null,null
2023-01-01 00:01:11,39,null,null,61,null,null
